track_id,album_name,album_id,album_release_date,album_total_tracks,artist_name,artist_id,track_duration,track_name,explicit,track_popularity,id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,acousticness,liveness,valence,tempo,time_signature,genre_name,country
5cxc936ntmzC407ZRZabL4,Vol. 1,3hD4aLq5Fl9icsse3fAbhD,2020-02-28,5,Short Tiger,4b90aCL1YaI8JD7JIbHPVu,171734,Boat's up the River,0,2,5cxc936ntmzC407ZRZabL4,0.642,0.388,4,-9.678,1,0.0286,0.00394,0.902,0.357,0.593,98.874,4,Kentucky Roots,United States
3BdbXeo7DpFC7Fnb1D4cXI,Barnmusik & barnsånger på svenska,4tawEbWqkoNvtI1bnMZv6Z,2016-09-05,50,Barn,3WqDa0sbEVfQZ3BbihJWdP,101240,"Blinka, lilla stjärna",0,6,3BdbXeo7DpFC7Fnb1D4cXI,0.809,0.175,2,-11.595,1,0.0364,0.000475,0.948,0.0953,0.533,91.974,4,Barnmusik,Sweden
08Yd7p30VD9L3xisQimMmc,Become My Blood,2IvC1Q3gL0gaSdiuc0lVaN,2017-01-13,9,Perry Brown,1BwXMN0fMCH8yWZPI3xpNO,282155,Closer Than I Appear,0,2,08Yd7p30VD9L3xisQimMmc,0.64,0.649,5,-11.505,0,0.0261,0.00319,0.283,0.136,0.821,128.043,4,Southern Americana,United States
2gdhABbOARypCTu2DKdp9A,Hallo Angst,620zA3GBpjfGeypL9DQQh3,2019-10-10,4,Sohnemann,2VFGmSJyGb0xZzddHyoDul,307942,Ich mag dich,0,3,2gdhABbOARypCTu2DKdp9A,0.488,0.891,6,-4.122,0,0.0357,0.00469,0.0108,0.105,0.433,81.003,4,Cologne Indie,Germany
0HckFIbg0YHiHU5KegSOaF,Musikantensehnsucht,29bkoF0ouZIol7AXw2AT8D,2011-01-01,14,Guido Henn,4CbBIV3W6cf02Mu07eUwht,235520,Musikantensehnsucht (Polka),0,26,0HckFIbg0YHiHU5KegSOaF,0.384,0.246,8,-11.379,1,0.0313,0.967,0.989,0.158,0.5,104.17,4,"Blaskapelle,Blasmusik",Germany
47VXRClogWMgY9M3kFesl1,Split,2bTupdKVU8ODaQdIecW99U,2020-05-08,12,Dorkatron,14PPhRsqd8QXXWhjWkMPJC,128546,Pills,0,2,47VXRClogWMgY9M3kFesl1,0.373,0.96,3,-4.343,1,0.0657,0.0,0.00126,0.877,0.694,198.957,4,DIY Pop Punk,
6e6BbDLydrvH7vuAQXqIRZ,Tro,633V9gpiueIUJdYE571lW0,2020-12-18,7,Lamashtu,6bNLkGKw3ngp4ADYFxtBpZ,512755,Som ett djur,0,1,6e6BbDLydrvH7vuAQXqIRZ,0.211,0.822,10,-6.757,1,0.0459,0.45,0.000199,0.246,0.191,140.027,4,Avant-Garde Metal,
3f6lUIjrM4b5jOjKmwcPK5,Ab Ke Sawan,2VQ9C15delsfFKIqbQwscv,1999-01-01,8,Shubha Mudgal,1cXjeY6DeuvHqOLioXcHZk,269866,Ab Ke Saawan,0,38,3f6lUIjrM4b5jOjKmwcPK5,0.497,0.628,0,-14.422,1,0.0777,0.000479,0.0286,0.0926,0.768,167.08,4,"Classic Bollywood,Filmi,Ghazal,Sufi",India
3WtCx6T0h99EDykJQ4ZXuo,Global Underground #25: Deep Dish - Toronto,78m21i0M73kiVthYp7ifK4,2003,12,Lowriders,4Q6yCgOSBv1ZgQud0rDfKY,401182,Part 1,0,12,3WtCx6T0h99EDykJQ4ZXuo,0.759,0.954,11,-7.207,0,0.0434,0.901,0.000907,0.613,0.468,126.783,4,Classic Hardstyle,
4HTTQiBco3P7bingBMSBUY,Everyday Reality,4zzhqSkz5nxC9OBhzZDIiX,2000-05-05,22,Piccalo,23o9Ncwvo3Cv0olHPX4BaA,189000,T-Shirts,1,3,4HTTQiBco3P7bingBMSBUY,0.827,0.798,10,-4.588,0,0.086,0.0,0.246,0.0474,0.781,94.571,4,Miami Hip Hop,United States
6Q5RyTS8s6Uwcwj36k1dHB,Neon,0vOvZxXtpGfj8lguolWtcZ,2018-03-02,9,Sam Moss,1l5DL2eLjMMvgwKX5Ysw9j,189907,Allies,0,24,6Q5RyTS8s6Uwcwj36k1dHB,0.441,0.223,7,-15.795,1,0.0307,0.00487,0.887,0.105,0.345,75.095,4,"Drone Folk,New England Americana",United States
26CueZgaXpRAesanWQFUB1,Inuyasha,7DG6Yuoazjv9UPkFGG5MCW,2016-05-23,11,Gabriela Vega,0TvXiwVJbkSDH04JMHtoq5,242253,Fukai Mori,0,37,26CueZgaXpRAesanWQFUB1,0.571,0.69,4,-4.629,0,0.0348,0.0,0.186,0.149,0.327,161.981,4,Anime Latino,
4D88ve3cG8zd8jTq8gOtV1,Chill - 2,5NhAz0S3fxKFFamM9ONNrp,2017-02-02,1,The Chicago Duo,0N0hNGhWhU9mlIHJAeA7IL,278007,Chill - 2,0,42,4D88ve3cG8zd8jTq8gOtV1,0.226,0.512,2,-13.382,0,0.0328,0.953,0.786,0.105,0.153,179.891,3,Focus,
2wSx6uYnKQf0041NdfO9hd,"Mas Reales Que Bonitos, Vol. 2",7u2MGN5YWnGcKhQSHgJ1kQ,2019-03-21,12,Zaiko & Nuco,7Eez0ojbN6ClBzEcc9zrKO,300878,Voy Camiando,0,20,2wSx6uYnKQf0041NdfO9hd,0.677,0.831,9,-5.957,0,0.18,0.0,0.0645,0.0803,0.814,141.958,4,Rap Underground Mexicano,Mexico
6ABSO0BJsLJYqDi3AtVQZz,Soul Satisfaction,3WPeP1PIrkGLGnnUg2tuCe,1999-01-01,22,Jaibi,6pLzTI6en7XQSm2HGd41VB,169560,What Good Am I?,0,1,6ABSO0BJsLJYqDi3AtVQZz,0.466,0.527,4,-7.531,0,0.0268,0.0155,0.336,0.187,0.664,96.595,4,Deep Southern Soul,United States
48rAbGH91YIMhJk5bUjoz8,Reclining Nude,5WdUvBTePuA6TLRi0eb6jH,2014-01-25,12,Naive Set,1SPS81Jo8TCGUCiQIEfLYh,130869,Like That,0,6,48rAbGH91YIMhJk5bUjoz8,0.325,0.822,7,-7.591,1,0.039,0.0331,0.132,0.218,0.706,162.584,4,Dutch Indie Rock,Netherlands
21LBEPei8BoGUMgpRwhErH,透過夏,0Kdvb8p9TFz5Cqp6LBBldN,2020-04-10,1,Guiano,1gIxoB0mBUoPr7rPyy31xf,191694,透過夏,0,38,21LBEPei8BoGUMgpRwhErH,0.766,0.714,6,-8.147,1,0.0357,1.04e-05,0.114,0.0872,0.658,118.014,4,Vocaloid,Japan
1tb4gFihZe70KjgikGWHPd,X-Wife,36PqfQf2RfEHtk6tvNJ71l,2018-04-06,10,X-Wife,55HgFTw7NiXSqGbqRC8upo,221250,Boom Shaka Boom,0,22,1tb4gFihZe70KjgikGWHPd,0.621,0.832,5,-6.861,0,0.0396,0.000175,0.00161,0.0544,0.948,128.016,4,Portuguese Rock,Portugal
4KDHvsFR83FzPMqxuJ3CXQ,En Lo Que Creo Me Convierto,0FRRi5ZKIqTOjFyfapeMkQ,2018-02-23,1,Sof Tot,0QLkVX5UDeJyKxSA8z8mtj,259297,En Lo Que Creo Me Convierto,0,16,4KDHvsFR83FzPMqxuJ3CXQ,0.695,0.478,7,-12.425,0,0.126,0.0231,0.741,0.114,0.547,91.073,4,Electrónica Argentina,Argentina
1HFo0De26dD81s4QL0Qdsu,"Lang, I.: Floatation / Sugar, M.: Nocturne / Szigeti, I.: Mother and Father / Hollos, M.: Clavinova Fantasia No. 2 (Electroacoustic Research)",3ODqsB3VOSjusLKJbmQyMG,2014-07-15,10,István Láng,0DTp5J5Z1jW9xfUXcK9W6g,499666,Suonitrascolori No. 1,0,0,1HFo0De26dD81s4QL0Qdsu,0.316,0.0518,4,-20.807,0,0.0425,0.845,0.968,0.0557,0.0344,135.051,4,Hungarian Contemporary Classical,Hungary
6OsSCG6FI5PCidvxgSvX4M,Up in the Attic Hip Hop Movie Soundtrack,4BZ6cqRcNJzgr5SwU3d5rh,2009-10-19,25,Crash Crew,69LUAOQZi6m7qgU2Ozc6cz,454000,High Powered Rap,0,15,6OsSCG6FI5PCidvxgSvX4M,0.865,0.939,10,-3.466,0,0.196,0.0,0.553,0.116,0.803,111.716,4,"Electro,Harlem Hip Hop,Proto-Rap",United States
3rMp08ZTzuCvrgIORrJVOm,Abstract Logic,4voM4vTOXjiFVLVZJo3huV,2020-10-12,4,Jani Ho,2AF1D7VRZr1fIKe3wWRb21,358582,Fast Cars,0,10,3rMp08ZTzuCvrgIORrJVOm,0.787,0.869,1,-7.325,1,0.0984,0.862,0.00338,0.0746,0.921,131.005,1,Australian Techno,Australia
2WhWYG6H3oepKqxKEjfvK0,Live Wild Die Free,7AYN2vH2zSZzIcjyuh8ed7,2013-09-18,10,Vulkano,2S4n5c3lzji3iJcUxV4cIX,158733,Choir of Wolves,0,7,2WhWYG6H3oepKqxKEjfvK0,0.345,0.875,4,-4.186,0,0.04,0.0784,0.0117,0.256,0.174,90.279,4,Stockholm Indie,Sweden
6Z59LdCasJLt1xsHyq7yjX,Testemunhas do Amor / Tudo Pra Você / Ipae in Concert (Álbum Triplo: Edição Especial),1TdxuCUxuLVdzOu079I7Um,2018-04-30,50,Coral Jovem do Ipae,5RZAWT4E3LMcbEf0bbvE5i,249000,Aleluia ao Cordeiro,0,10,6Z59LdCasJLt1xsHyq7yjX,0.528,0.514,9,-9.08,1,0.029,0.0,0.726,0.176,0.405,84.008,4,"Coral Gospel,Louvor",Brazil
5d3TxI13ui4zHco1NNZwIv,Mille après mille,53D3oTLIotz6oKwlxIPtaQ,2005-01-01,23,Willie Lamothe,3XyBTvUbCz5fMjO3G89TEs,181640,Mille après mille,0,32,5d3TxI13ui4zHco1NNZwIv,0.54,0.729,2,-8.401,1,0.0384,0.00102,0.000294,0.247,0.787,119.502,4,"Chanson Québécois,Country Québécois",Canada
403VIBIMPMakYoRni8SrzK,Sorrento,6dgCA2nfFomnF4bMF8wTvl,2015-05-07,7,Joseph & Maia,2dXGyySsUY7yYzCfMf6OSZ,167000,Sleep,0,52,403VIBIMPMakYoRni8SrzK,0.558,0.0843,0,-18.398,1,0.0372,4.09e-06,0.881,0.13,0.153,109.528,4,Pop Folk,
5vIEh3SiVGRvKGx2WkM0Zs,Τραγούδια της Ξενιτιάς,0QfdPpWzW6KTMOifODnjeh,1989-10-14,16,Domna Samiou,4QUTpnxjKx7SEDhJomZ6JR,279733,Γιάννη μου το Μαντήλι σου (Ήπειρος) [feat. Σάββας Σιάτρας],0,8,5vIEh3SiVGRvKGx2WkM0Zs,0.335,0.326,7,-11.6,0,0.0303,2.12e-06,0.658,0.137,0.32,109.692,4,Greek Folk,Greece
1BbULQIDTUlye8lylxp2OV,K-libre,0BcJuKhbEpwhrTqhGAAFF9,2008-10-01,17,Mighty ki la,6I753RclCWtGwsSzbC0JXE,238720,No Limit - Feat. Kaf Malbar,0,9,1BbULQIDTUlye8lylxp2OV,0.803,0.958,7,-3.729,0,0.242,0.0,0.0432,0.44,0.212,100.007,4,Zouk Riddim,Guadeloupe
4W2rjIhn2d8Gtv3IT3P5Ay,"Yesus Aku Percaya, Vol. 7",6VzDITy6ONawpgRaZ8wYMM,2010-06-01,10,P.D.T. Dr. Ir. Niko Njotorahadjo,5TduhpimE1tyqYK2X6nfhU,335000,Hatiku Percaya,0,15,4W2rjIhn2d8Gtv3IT3P5Ay,0.447,0.421,3,-7.688,1,0.0259,0.024,0.283,0.142,0.196,70.93,4,Indonesian Worship,Indonesia
3RxUBny41YbvA2zus4vWYA,Noon,67ygLpPD068nalfKqNAfj6,2018-08-21,1,Sylence,0H6s1CbpvyZpA3hmZmuDxh,216000,Noon,0,43,3RxUBny41YbvA2zus4vWYA,0.602,0.753,8,-5.474,1,0.0504,0.889,0.593,0.118,0.0757,149.958,4,Euphoric Hardstyle,
2LGqLhBcnPbdIrUYYSz2df,The Human Parasite,3blcORPVFGbYvDr4TaYsu8,2017-01-13,5,Abaddon Codex,7hOiKOV1X78sOEbRUJQzAZ,509426,Return of the Nephilim,1,1,2LGqLhBcnPbdIrUYYSz2df,0.606,0.992,7,-1.577,1,0.149,0.553,0.0118,0.396,0.1,105.005,4,Symphonic Death Metal,
4RHT46Wzgs6knp3WC3sARg,Let's Start a Fire,49dxX3IC8PxDR5d4FFodAI,2020-08-21,1,With Bravado,05K6Mc6jQG8n4nvkmY6Kx0,156642,Let's Start a Fire,0,18,4RHT46Wzgs6knp3WC3sARg,0.229,0.914,6,-4.147,0,0.0778,0.0,0.000639,0.0604,0.541,179.173,4,Memphis Indie,United States
3Gfy1HbHNYbPHzvVg0h0OC,"L'asphalte dans mon district (feat. Joe B.G., Patsy Gallant & Radical) [S.I.D.A.]",3eHNtkpMq3qNV4YAVQdKxi,2013-02-11,18,Treizième Étage,0o001vsaZ0W5KiJ3Qlsu4o,216466,Le coeur de Montréal,1,26,3Gfy1HbHNYbPHzvVg0h0OC,0.558,0.861,0,-2.718,0,0.0817,0.0,0.0204,0.0395,0.52,180.123,4,Hip Hop Québécois,Canada
